customer_id,income_k,spending_score,age
140,63.9,9.0,39.0
141,76.3,77.0,19.0
142,75.0,82.0,31.0
143,74.0,86.0,45.0
144,20.4,17.0,46.0
145,29.8,62.0,27.0
146,23.7,14.0,36.0
147,18.1,38.0,43.0
148,77.1,19.0,41.0
149,20.9,74.0,25.0
150,28.6,86.0,27.0
151,81.4,93.0,41.0
152,83.6,72.0,26.0
153,31.9,70.0,23.0
154,19.9,17.0,50.0
155,26.8,30.0,36.0
156,14.9,72.0,18.0
157,72.6,72.0,33.0
158,73.8,32.0,53.0
159,14.2,21.0,45.0
160,19.3,77.0,23.0
161,73.0,76.0,24.0
162,70.2,6.0,56.0
163,86.6,74.0,29.0
164,78.5,84.0,27.0
165,17.1,71.0,21.0
166,21.7,57.0,23.0
167,77.8,22.0,55.0
168,21.0,78.0,22.0
169,64.0,82.0,30.0
170,19.0,67.0,23.0
171,24.1,29.0,51.0
172,13.8,65.0,22.0
173,15.9,15.0,46.0
174,27.9,64.0,22.0
175,76.9,66.0,33.0
176,73.3,82.0,44.0
177,66.9,16.0,52.0
178,15.0,25.0,50.0
179,69.9,84.0,27.0
180,77.7,78.0,23.0
181,13.8,31.0,53.0
182,12.0,76.0,34.0
183,78.9,14.0,52.0
184,79.1,21.0,44.0
185,77.1,88.0,36.0
186,68.0,27.0,48.0
187,21.0,64.0,26.0
188,70.4,13.0,57.0
189,14.7,74.0,24.0
190,14.3,76.0,33.0
191,68.9,32.0,45.0
192,66.0,86.0,22.0
193,18.9,14.0,39.0
194,69.9,58.0,34.0
195,24.7,77.0,26.0
196,68.0,22.0,49.0
197,22.8,31.0,45.0
198,19.7,59.0,33.0
199,90.6,94.0,35.0
200,75.2,15.0,55.0
